[INFO] l2p.py:357 > Train | Sample # 400 | train_loss 3.7586 | train_acc 0.0000 | lr 0.002999 | running_time 0:00:42 | ETA 1:27:06
[INFO] l2p.py:357 > Train | Sample # 416 | train_loss 4.1535 | train_acc 0.0000 | lr 0.002999 | running_time 0:00:43 | ETA 1:26:26
[INFO] l2p.py:357 > Train | Sample # 432 | train_loss 4.6105 | train_acc 0.0625 | lr 0.002999 | running_time 0:00:44 | ETA 1:25:09
[INFO] l2p.py:357 > Train | Sample # 448 | train_loss 4.2117 | train_acc 0.0000 | lr 0.002998 | running_time 0:00:46 | ETA 1:25:10
[INFO] l2p.py:357 > Train | Sample # 464 | train_loss 4.1672 | train_acc 0.0000 | lr 0.002998 | running_time 0:00:47 | ETA 1:25:16
[INFO] l2p.py:357 > Train | Sample # 480 | train_loss 3.7094 | train_acc 0.0000 | lr 0.002998 | running_time 0:00:49 | ETA 1:24:42
[INFO] l2p.py:357 > Train | Sample # 496 | train_loss 4.0195 | train_acc 0.1250 | lr 0.003000 | running_time 0:00:50 | ETA 1:23:31
[INFO] l2p.py:357 > Train | Sample # 512 | train_loss 3.5767 | train_acc 0.1250 | lr 0.002999 | running_time 0:00:51 | ETA 1:23:40
[INFO] l2p.py:357 > Train | Sample # 528 | train_loss 3.7026 | train_acc 0.0000 | lr 0.002999 | running_time 0:00:52 | ETA 1:22:36
[INFO] l2p.py:357 > Train | Sample # 544 | train_loss 4.0198 | train_acc 0.0625 | lr 0.003000 | running_time 0:00:54 | ETA 1:22:47
[INFO] l2p.py:357 > Train | Sample # 560 | train_loss 4.4007 | train_acc 0.0000 | lr 0.003000 | running_time 0:00:55 | ETA 1:21:49
[INFO] l2p.py:357 > Train | Sample # 576 | train_loss 5.0456 | train_acc 0.0000 | lr 0.002999 | running_time 0:00:57 | ETA 1:22:01
[INFO] l2p.py:357 > Train | Sample # 592 | train_loss 3.4511 | train_acc 0.0000 | lr 0.002999 | running_time 0:00:58 | ETA 1:21:38
[INFO] l2p.py:357 > Train | Sample # 608 | train_loss 4.1854 | train_acc 0.0000 | lr 0.003000 | running_time 0:01:00 | ETA 1:21:20
[INFO] l2p.py:357 > Train | Sample # 624 | train_loss 3.4803 | train_acc 0.0000 | lr 0.002999 | running_time 0:01:01 | ETA 1:20:27
[INFO] l2p.py:357 > Train | Sample # 640 | train_loss 3.9288 | train_acc 0.0000 | lr 0.002999 | running_time 0:01:02 | ETA 1:20:08
[INFO] l2p.py:357 > Train | Sample # 656 | train_loss 3.6188 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:04 | ETA 1:20:20
[INFO] l2p.py:357 > Train | Sample # 672 | train_loss 3.7634 | train_acc 0.0625 | lr 0.002999 | running_time 0:01:05 | ETA 1:20:03
[INFO] l2p.py:357 > Train | Sample # 688 | train_loss 3.3102 | train_acc 0.1250 | lr 0.002998 | running_time 0:01:06 | ETA 1:19:08
[INFO] l2p.py:357 > Train | Sample # 704 | train_loss 4.3257 | train_acc 0.1250 | lr 0.003000 | running_time 0:01:07 | ETA 1:19:03
